RangeKey,Center,Type,2MaxDuration,3P50Duaration,P95Duration,TotalCount,ApprovedCount,ApprovedLast7Days,Approved Last14Days,ApprovedLast28Days
0910145000 - 0910149999,IOE,I-90,459,447,457,26,4,0,0,0
0910150000 - 0910154999,IOE,I-130,840,640,775,315,37,1,1,4
0910155000 - 0910159999,IOE,I-130,795,563,753,279,49,0,1,1
0910155000 - 0910159999,IOE,I-90,467,455,465,11,4,0,0,0
0910160000 - 0910164999,IOE,I-130,789,602,777,80,16,0,0,1
0910160000 - 0910164999,IOE,I-90,453,453,453,3,2,0,0,0
0910165000 - 0910169999,IOE,I-130,767,615,758,56,6,0,0,1
0910165000 - 0910169999,IOE,I-90,436,436,436,8,1,0,0,0
0910170000 - 0910174999,IOE,I-130,792,617,769,190,31,0,0,3
0910170000 - 0910174999,IOE,I-90,582,582,582,13,3,0,0,0
0910175000 - 0910179999,IOE,I-130,826,629,722,314,38,0,1,2
0910180000 - 0910184999,IOE,I-130,815,628,729,450,62,1,1,3
0910180000 - 0910184999,IOE,I-90,555,555,555,50,6,1,1,1
0910185000 - 0910189999,IOE,I-130,786,625,730,177,25,0,0,0
0910185000 - 0910189999,IOE,I-90,464,237,441,14,6,0,0,0
0910190000 - 0910194999,IOE,I-130,826,615,741,401,56,0,1,4
0910190000 - 0910194999,IOE,I-90,503,447,493,40,9,1,1,1
0910195000 - 0910199999,IOE,I-130,733,615,711,279,32,0,0,2
0910195000 - 0910199999,IOE,I-765,469,469,469,337,13,0,0,0
0910195000 - 0910199999,IOE,I-90,463,452,461,29,8,0,0,0
0910200000 - 0910204999,IOE,I-130,792,617,758,243,28,0,0,3
0910200000 - 0910204999,IOE,I-485,143,73,136,7,2,0,0,0
0910200000 - 0910204999,IOE,I-90,579,455,566,18,6,0,0,0
0910205000 - 0910209999,IOE,I-130,790,599,695,100,12,1,1,1
0910205000 - 0910209999,IOE,I-90,553,449,527,38,7,1,1,1
0910210000 - 0910214999,IOE,I-130,725,624,698,43,15,0,0,0
0910210000 - 0910214999,IOE,I-485,101,101,101,4,1,0,0,0
0910210000 - 0910214999,IOE,I-90,564,456,531,44,9,2,2,2
0910215000 - 0910219999,IOE,I-130,801,616,766,155,25,1,2,7
0910215000 - 0910219999,IOE,I-90,578,444,574,84,21,0,0,0
0910220000 - 0910224999,IOE,I-130,753,615,734,245,31,0,1,1
0910220000 - 0910224999,IOE,I-485,11,11,11,1,1,0,0,0
0910220000 - 0910224999,IOE,I-765,357,357,357,208,19,0,0,0
0910220000 - 0910224999,IOE,I-90,549,549,549,13,2,0,0,0
0910225000 - 0910229999,IOE,I-130,822,615,742,233,23,0,1,1
0910225000 - 0910229999,IOE,I-90,590,453,578,71,21,1,1,1
0910230000 - 0910234999,IOE,I-130,758,616,708,376,31,0,0,1
0910230000 - 0910234999,IOE,I-485,234,234,234,8,1,0,0,0
0910230000 - 0910234999,IOE,I-90,450,403,445,35,7,1,1,1
0910235000 - 0910239999,IOE,I-130,812,633,788,170,19,1,1,3
0910235000 - 0910239999,IOE,I-485,251,251,251,5,1,0,0,0
0910235000 - 0910239999,IOE,I-90,586,527,582,66,22,1,1,2
0910240000 - 0910244999,IOE,I-130,822,616,776,327,34,3,5,10
0910240000 - 0910244999,IOE,I-485,1,1,1,7,3,0,0,0
0910240000 - 0910244999,IOE,I-90,570,458,566,66,27,1,1,1
0910245000 - 0910249999,IOE,I-130,727,614,722,65,8,0,0,0
0910245000 - 0910249999,IOE,I-90,463,445,459,46,13,1,2,2
0910250000 - 0910254999,IOE,I-130,806,610,744,208,25,1,1,1
0910250000 - 0910254999,IOE,I-485,168,102,161,8,2,0,0,1
0910250000 - 0910254999,IOE,I-765,303,303,303,345,21,0,0,0
0910250000 - 0910254999,IOE,I-90,575,507,574,76,15,0,0,0
0910255000 - 0910259999,IOE,I-130,823,615,816,133,19,1,2,3
0910255000 - 0910259999,IOE,I-485,514,506,513,10,2,0,0,0
0910255000 - 0910259999,IOE,I-765,402,402,402,435,21,0,0,0
0910255000 - 0910259999,IOE,I-90,499,475,496,23,6,0,0,0
0910260000 - 0910264999,IOE,I-130,800,605,750,182,28,0,0,1
0910260000 - 0910264999,IOE,I-485,200,139,193,7,2,0,0,0
0910260000 - 0910264999,IOE,I-90,578,475,577,64,19,1,1,1
0910265000 - 0910269999,IOE,I-130,757,602,693,294,41,0,2,2
0910265000 - 0910269999,IOE,I-485,303,303,303,6,1,0,0,0
